agree,strongly disagree,strongly agree,disagree,strongly agree
strongly disagree,strongly agree,strongly agree,agree,strongly disagree
neutral,disagree,strongly disagree,neutral,strongly disagree
neutral,strongly disagree,agree,neutral,strongly agree
disagree,disagree,agree,strongly agree,neutral
strongly disagree,strongly agree,neutral,agree,strongly disagree
agree,strongly agree,disagree,disagree,disagree
strongly disagree,strongly agree,disagree,strongly disagree,disagree
strongly disagree,disagree,strongly disagree,neutral,disagree
strongly disagree,strongly disagree,strongly agree,strongly disagree,disagree
neutral,agree,disagree,strongly agree,agree
strongly agree,strongly agree,disagree,agree,neutral
strongly agree,neutral,neutral,strongly agree,disagree
neutral,disagree,strongly disagree,strongly disagree,disagree
agree,strongly agree,agree,strongly agree,neutral
strongly disagree,neutral,neutral,strongly agree,agree
strongly disagree,strongly disagree,strongly disagree,neutral,strongly disagree
agree,neutral,agree,neutral,neutral
strongly agree,disagree,agree,neutral,neutral
neutral,strongly disagree,strongly disagree,agree,strongly agree
strongly agree,disagree,agree,disagree,disagree
disagree,strongly disagree,strongly agree,strongly disagree,strongly disagree
disagree,strongly agree,strongly disagree,neutral,disagree
neutral,strongly disagree,disagree,agree,strongly agree
agree,agree,neutral,strongly disagree,strongly agree
strongly disagree,disagree,agree,strongly agree,neutral
neutral,strongly agree,neutral,strongly disagree,agree
strongly disagree,disagree,disagree,disagree,agree
agree,agree,strongly agree,strongly agree,neutral
strongly disagree,strongly agree,strongly agree,agree,agree
strongly agree,agree,strongly agree,disagree,strongly agree
strongly disagree,neutral,strongly disagree,strongly disagree,neutral
neutral,neutral,strongly disagree,agree,disagree
strongly disagree,agree,strongly disagree,strongly agree,disagree
disagree,strongly agree,strongly agree,neutral,disagree
strongly disagree,strongly agree,disagree,disagree,agree
disagree,strongly disagree,strongly disagree,agree,neutral
agree,disagree,strongly agree,strongly disagree,disagree
neutral,neutral,neutral,neutral,agree
agree,neutral,neutral,strongly disagree,strongly disagree
disagree,strongly disagree,strongly agree,strongly disagree,strongly disagree
